group_index,hnu_center_eV,hnu_low_eV,hnu_high_eV
223,0.648331427434,0.642308747951,0.654410579242
224,0.660546732893,0.654410579242,0.666740422873
225,0.672992188676,0.666740422873,0.679302574857
226,0.685672131076,0.679302574857,0.692101412149
227,0.698590978091,0.692101412149,0.705141394171
228,0.711753230957,0.705141394171,0.718427064366
229,0.725163475717,0.718427064366,0.731963051779
230,0.738826384824,0.731963051779,0.745754072674
231,0.752746718761,0.745754072674,0.759804932172
232,0.766929327708,0.759804932172,0.774120525931
233,0.781379153225,0.774120525931,0.788705841846
234,0.796101229978,0.788705841846,0.80356596179
235,0.811100687492,0.80356596179,0.818706063388
236,0.826382751937,0.818706063388,0.834131421812
237,0.841952747952,0.834131421812,0.849847411627
238,0.857816100495,0.849847411627,0.865859508662
239,0.873978336741,0.865859508662,0.882173291915
240,0.890445087998,0.882173291915,0.898794445499
241,0.907222091679,0.898794445499,0.915728760623
242,0.924315193294,0.915728760623,0.932982137608
243,0.94173034849,0.932982137608,0.950560587945
244,0.959473625123,0.950560587945,0.968470236387
245,0.977551205378,0.968470236387,0.986717323085
246,0.995969387916,0.986717323085,1.00530820576
247,1.01473459007,1.00530820576,1.02424936193
248,1.0338533501,1.02424936193,1.04354739114
249,1.05333232943,1.04354739114,1.06320901728
250,1.073178315,1.06320901728,1.08324109094
251,1.09339822163,1.08324109094,1.10365059178
252,1.11399909443,1.10365059178,1.12444463096
253,1.13498811122,1.12444463096,1.1456304536
254,1.15637258509,1.1456304536,1.16721544138
255,1.17815996691,1.16721544138,1.189207115
256,1.20035784791,1.189207115,1.21161313691
257,1.22297396237,1.21161313691,1.23444131388
258,1.24601619029,1.23444131388,1.25769959982
259,1.26949256014,1.25769959982,1.28139609846
260,1.29341125163,1.28139609846,1.30553906623
261,1.31778059863,1.30553906623,1.33013691512
262,1.34260909199,1.33013691512,1.35519821561
263,1.36790538255,1.35519821561,1.38073169966
264,1.39367828416,1.38073169966,1.40674626375
265,1.4199367767,1.40674626375,1.43325097197
266,1.44669000927,1.43325097197,1.4602550592
267,1.47394730334,1.4602550592,1.48776793432
268,1.50171815599,1.48776793432,1.51579918346
269,1.53001224326,1.51579918346,1.5443585734
270,1.55883942349,1.5443585734,1.57345605489
271,1.58820974076,1.57345605489,1.60310176621
272,1.6181334284,1.60310176621,1.63330603663
273,1.64862091252,1.63330603663,1.66407939005
274,1.67968281571,1.66407939005,1.69543254863
275,1.71132996067,1.69543254863,1.72737643657
276,1.74357337404,1.72737643657,1.75992218389
277,1.77642429018,1.75992218389,1.7930811303
278,1.80989415514,1.7930811303,1.82686482918
279,1.84399463064,1.82686482918,1.86128505158
280,1.87873759809,1.86128505158,1.89635379033
281,1.91413516277,1.89635379033,1.93208326422
282,1.95019965805,1.93208326422,1.96848592226
283,1.98694364966,1.96848592226,2.00557444799
284,2.02437994009,2.00557444799,2.04336176397
285,2.06252157303,2.04336176397,2.08186103618
286,2.10138183796,2.08186103618,2.12108567871
287,2.14097427472,2.12108567871,2.16104935836
288,2.18131267825,2.16104935836,2.20176599943
289,2.22241110344,2.20176599943,2.24324978857
290,2.26428386996,2.24324978857,2.28551517974
291,2.30694556727,2.28551517974,2.32857689922
292,2.35041105975,2.32857689922,2.37244995072
293,2.39469549181,2.37244995072,2.41714962069
294,2.43981429321,2.41714962069,2.46269148355
295,2.48578318442,2.46269148355,2.50909140719
296,2.5326181821,2.50909140719,2.55636555844
297,2.5803356047,2.55636555844,2.60453040877
298,2.6289520781,2.60453040877,2.65360273994
299,2.67848454146,2.65360273994,2.70359964996
300,2.72895025307,2.70359964996,2.75453855893
301,2.78036679639,2.75453855893,2.80643721519
302,2.83275208618,2.80643721519,2.85931370148
303,2.88612437473,2.85931370148,2.91318644124
304,2.94050225823,2.91318644124,2.96807420502
305,2.99590468324,2.96807420502,3.02399611703
306,3.05235095328,3.02399611703,3.08097166182
307,3.10986073561,3.08097166182,3.13902069101
308,3.16845406799,3.13902069101,3.1981634303
309,3.22815136575,3.1981634303,3.25842048642
310,3.28897342887,3.25842048642,3.31981285439
311,3.35094144921,3.31981285439,3.38236192477
312,3.41407701791,3.38236192477,3.44608949116
313,3.47840213292,3.44608949116,3.51101775777
314,3.54393920666,3.51101775777,3.57716934717
315,3.6107110738,3.57716934717,3.64456730817
316,3.67874099928,3.64456730817,3.71323512381
317,3.74805268634,3.71323512381,3.78319671962
318,3.81867028485,3.78319671962,3.8544764719
319,3.89061839966,3.8544764719,3.92709921623
320,3.96392209923,3.92709921623,4.00109025609
321,4.03860692432,4.00109025609,4.07647537176
322,4.11469889692,4.07647537176,4.15328082921
323,4.19222452929,4.15328082921,4.23153338931
324,4.27121083323,4.23153338931,4.31126031712
325,4.35168532945,4.31126031712,4.39248939141
326,4.43367605721,4.39248939141,4.47524891436
327,4.51721158403,4.47524891436,4.55956772135
328,4.6023210157,4.55956772135,4.64547519108
329,4.68903400639,4.64547519108,4.73300125577
330,4.77738076897,4.73300125577,4.82217641162
331,4.86739208559,4.82217641162,4.91303172937
332,4.95909931834,4.91303172937,5.0055988652
333,5.05253442023,5.0055988652,5.09991007171
334,5.14772994627,5.09991007171,5.19599820921
335,5.24471906488,5.19599820921,5.29389675709
336,5.3435355694,5.29389675709,5.39363982556
337,5.44421388985,5.39363982556,5.49526216749
338,5.54678910499,5.49526216749,5.59879919056
339,5.65129695448,5.59879919056,5.70428696953
340,5.75777385136,5.70428696953,5.81176225888
341,5.86625689472,5.81176225888,5.92126250559
342,5.97678388268,5.92126250559,6.03282586215
343,6.08939332548,6.03282586215,6.14649119992
344,6.20412445895,6.14649119992,6.26229812264
345,6.32101725816,6.26229812264,6.3802869802
346,6.44011245139,6.3802869802,6.50049888276
347,6.56145153423,6.50049888276,6.62297571503
348,6.68507678415,6.62297571503,6.74776015087
349,6.81103127515,6.74776015087,6.87489566817
350,6.93935889278,6.87489566817,7.00442656399
351,7.07010434947,7.00442656399,7.13639797001
352,7.20331320007,7.13639797001,7.27085586823
353,7.33903185774,7.27085586823,7.40784710701
354,7.47730761012,7.40784710701,7.54741941737
355,7.61818863579,7.54741941737,7.68962142966
356,7.76172402108,7.68962142966,7.83450269047
357,7.90796377716,7.83450269047,7.98211367991
358,8.05695885747,7.98211367991,8.13250582918
359,8.20876117547,8.13250582918,8.28573153851
360,8.36342362273,8.28573153851,8.44184419543
361,8.52100008735,8.44184419543,8.60089819331
362,8.68154547275,8.60089819331,8.76294895039
363,8.8451157168,8.76294895039,8.92805292904
364,9.01176781129,8.92805292904,9.09626765545
365,9.1815598218,9.09626765545,9.26765173965
366,9.35455090795,9.26765173965,9.44226489597
367,9.53080134398,9.44226489597,9.62016796384
368,9.71037253976,9.62016796384,9.80142292893
369,9.89332706221,9.80142292893,9.98609294483
370,10.0797286571,9.98609294483,10.174242355
371,10.2696422711,10.174242355,10.3659367152
372,10.4631340749,10.3659367152,10.5612428164
373,10.6602714854,10.5612428164,10.7602287078
374,10.8611231902,10.7602287078,10.962963721
375,11.0657591708,10.962963721,11.1695184936
